nation,seasons_covered,latest_season,players_n,rows_n,minutes_total,matches_total,goals_total,xg_total,np_goals_total,np_xg_total,assists_total,xa_total,shots_total,key_passes_total,xgchain_total,xgbuildup_total,xg_plus_xa_total,npg_plus_xa_total,yellow_cards_total,red_cards_total,market_value_total,market_value_top5_sum,market_value_top3_sum,market_value_top1,market_value_hhi,caps_total,international_goals_total,top1_xg,top3_xg,top5_xg,top1_np_xg,top3_np_xg,top5_np_xg,top1_xg_share,top3_xg_share,top5_xg_share,top1_np_xg_share,top3_np_xg_share,top5_np_xg_share,xg_hhi,np_xg_hhi,players_over_1000_min,players_over_500_min,players_over_250_min,players_xg_gt_1,players_xg_gt_3,players_xg_gt_5,goalkeeper_minutes,defender_minutes,midfield_minutes,attack_minutes,age_mean,age_sd,age_min,age_max,market_value_mean,market_value_sd,caps_mean,caps_sd,international_goals_mean,international_goals_sd,xg_per90_weighted,xa_per90_weighted,shots_per90_weighted,key_passes_per90_weighted,xgchain_per90_weighted,xgbuildup_per90_weighted,goals_per90_weighted,assists_per90_weighted,minutes_per_player,goals_minus_xg,goals_minus_np_xg,xg_per90,np_xg_per90,xa_per90,shots_per90,key_passes_per90,xgchain_per90,xgbuildup_per90,goals_per90,assists_per90,xg_per_shot,np_xg_per_shot,attack_minutes_share,midfield_minutes_share,defender_minutes_share,goalkeeper_minutes_share,attack_depth_index
Algeria,5,2526,19.99999999999928,19.99999999999928,19594.00000000127,318.00000000001205,40.00000000000144,41.072645467708526,33.000000000001684,35.75436360296112,31.00000000000289,25.558938185687147,319.00000000002143,232.00000000001373,111.13495319616779,67.90395744983394,66.63158365339567,25.558938185687147,46.000000000000966,1.1571914090155381e-25,222399999.99998885,149999999.9999933,107999999.99999689,40000000,0.11246627697842065,492.00000000001353,54.00000000000048,7.915431183763558,18.476377620364104,25.31763544772072,7.157654506155208,16.60946686659184,22.279639019633,0.1927178318714984,0.44984630062093417,0.6164111213051847,0.20018967714369681,0.46454377012645637,0.6231306272722388,0.10027332687264158,0.10466469348648681,10.99999999999976,15.99999999999952,16.99999999999952,12.99999999999952,4.000000000000481,3,1.7282653693642904e-22,6120.000000000756,7373.0000000004075,6101.000000000108,27.771429470301985,4.265102869553754,20.386301369863244,34.47671232876712,12370521.68447609,12822570.104840884,29.406195774217718,29.59978662796525,3.3465856894969375,4.680305882941346,0.18865663428057214,0.1173984095494372,1.4652444625905916,1.0656323364295146,0.5104698268681459,0.31189936564686577,0.18372971317749917,0.14239052771256827,979.7000000001163,-1.0726454677070771,4.245636397040327,0.18865663428057217,0.16422847424039444,0.11739840954943724,1.4652444625905916,1.0656323364295146,0.5104698268681459,0.31189936564686577,0.1837297131774992,0.14239052771256827,0.1287543745069148,0.1120826445233815,0.3113708278044184,0.3762886597938116,0.31234051240177013,7.877953183354412e-27,0.8000000000000057
Argentina,5,2526,50.999999999999766,50.999999999999766,59127.00000000236,865.0000000000546,100.99999999999953,119.72512045223145,88.99999999999929,108.40322615671782,53.000000000005535,74.79673405364439,864.0000000000144,582.0000000000344,316.55842864794334,186.723909932205,194.52185450587584,74.79673405364439,133.00000000001276,6.9999999999995195,1006824999.9999849,395000000,265000000.00000003,90000000.00000001,0.04628265402264069,1143.0000000000293,223.99999999997596,14.574753515422442,38.238073589279765,55.99059561453578,14.574753515422442,32.15516510047022,46.29763608984558,0.12173513344876997,0.3193822102232604,0.4676595471614092,0.134449444284544,0.2966255363468956,0.4270872531313172,0.060758767143413904,0.057320128228800254,29.000000000000483,38,43.00000000000001,25.000000000000483,13.99999999999952,7.999999999999519,8729.0000000011,11296.00000000097,20099.000000000542,19002.99999999974,27.810696177325518,4.813840666235195,18.665753424658124,41.52876712328751,26181313.105687752,23255177.73887495,22.246317249312657,32.798888072973014,3.45331236152687,16.70697869917872,0.18223926193956194,0.11385164247852465,1.3151352174133384,0.8858896950631838,0.4818485392175103,0.2842212845890654,0.15373687148002865,0.08067380384596316,1159.3529411765232,-18.72512045223192,-7.403226156718296,0.18223926193956194,0.1650056717591673,0.11385164247852468,1.3151352174133386,0.8858896950631838,0.48184853921751025,0.2842212845890654,0.15373687148002865,0.08067380384596318,0.13857074126415467,0.12546669694064375,0.32139293385423123,0.3399293047169615,0.19104639166540577,0.1476313697634016,0.74509803921569
Australia,5,2526,6.000000000000721,6.000000000000721,5958.00000000026,94.00000000000361,1,2.048116197810612,1,2.048116197810612,2.000000000001684,1.5195378307266223,36.00000000001011,22.000000000008903,9.86368498020221,6.985888956116829,3.5676540285372345,1.5195378307266223,10.999999999998318,1,14450000.000000464,14400000.000000158,13500000,10000000,0.5108296117143931,182.00000000001035,24.00000000000072,0.6845558751381695,1.8149557812148203,2.048116197810562,0.6845558751381695,1.8149557812148203,2.048116197810562,0.3342368347409631,0.8861585993778038,0.9999999999999922,0.3342368347409631,0.8861585993778038,0.9999999999999922,0.2710371702764419,0.2710371702764419,2.0000000000002407,4,5.000000000000241,2.4054016390367067e-13,2.405401639036128e-13,6.695459785495222e-51,2.0598007080472113e-23,4046.9999999998327,1156.000000000483,754.999999999944,30.052373463560333,5.4345899798606965,22.50958904109574,36.66301369863014,3410775.4279955355,3791097.0268070763,24.47213830144761,27.681522116145278,2.0104061765700725,5.899152481500997,0.030938311145171846,0.022953743666561374,0.543806646525789,0.332326283988017,0.14899826254080528,0.1055270235062875,0.015105740181268312,0.030211480362558177,992.9999999999493,-1.0481161978106122,-1.0481161978106122,0.030938311145171878,0.030938311145171878,0.022953743666561412,0.543806646525789,0.332326283988017,0.14899826254080537,0.10552702350628758,0.015105740181268326,0.03021148036255819,0.056892116605827485,0.056892116605827485,0.12672037596507632,0.1940248405505818,0.679254783484342,7.194553643196721e-27,0.6666666666666132
Austria,5,2526,28.000000000000483,28.000000000000483,32789.00000000183,490.00000000004167,39.00000000000121,53.186173536815986,34.00000000000144,46.36618338618643,36.000000000000725,39.15732142050063,391.0000000000188,370.00000000002143,155.9432568093866,101.58436660934929,92.34349495731661,39.15732142050063,83.00000000000168,2.0000000000004814,289599999.9999972,128999999.99999881,86999999.99999928,32000000,0.06327025655505039,876.0000000000487,117.00000000001107,12.520178310571609,22.222746877929648,28.512466685845684,11.762401625512723,19.191640160045743,24.42510164808484,0.23540287781570104,0.41782939813384046,0.5360879489875165,0.25368492221029604,0.41391459806380476,0.5267869784460594,0.0948664697205637,0.09856274309494162,16.000000000000963,22.000000000000725,24.00000000000048,16,4.000000000000963,2,1.2509239131455835e-22,14595.000000000577,13437.000000000726,4757.000000000535,27.722704782801955,3.9325012991978627,22.038356164383146,39.13424657534247,12921848.790752504,9251763.738613913,29.536826374699427,28.342948881914456,3.703681112568321,7.170172638185715,0.14598663022090336,0.1074799148447606,1.0732257769373807,1.015584494800087,0.42803663157900457,0.2788311017365856,0.10704809539784466,0.09881362652108651,1171.0357142857565,-14.186173536814781,-7.366183386185218,0.14598663022090336,0.12726696467585324,0.1074799148447606,1.0732257769373807,1.015584494800087,0.4280366315790045,0.2788311017365856,0.10704809539784466,0.09881362652108651,0.13602601927573824,0.11858358922297751,0.14507914239532216,0.4098020677666284,0.44511878983804953,2.5997005551884677e-27,0.7857142857142971
Belgium,5,2526,48.99999999999928,48.99999999999928,50728.000000003805,780.0000000000592,51.00000000001131,55.65403791424949,44.00000000001203,50.38253187389243,45.000000000009386,59.407408681704034,513.0000000000877,513.0000000000347,213.40963737762223,141.26750238520475,115.06144659595353,59.407408681704034,82.00000000000986,4.000000000001203,715999999.9999804,212000000,145000000,65000000.00000001,0.037021745575981986,1274.9999999999857,232.99999999999977,5.790925524199324,13.10534145497259,19.4219547696487,5.790925524198591,13.105341454971676,18.56538924575517,0.10405220791205741,0.23547871719863386,0.34897656122583454,0.114939152694695,0.2601167699903188,0.3684886121289636,0.046411753057361706,0.04903981191182389,25.000000000000725,36.00000000000001,41,21.999999999999762,5.000000000000962,1.0000000000012028,8521.999999999422,11415.000000001086,22111.000000000786,8680.000000002508,27.414591385050233,4.250349452122888,20.704109589040915,37.25205479452055,17056875.88708412,13320607.979321985,27.337289071126182,34.32837128134611,2.5826565210545476,14.043875610986936,0.09873961938735885,0.1053987301165615,0.9101482416023374,0.9101482416022658,0.37862457348967776,0.2506322980339737,0.09048257372655166,0.07983756505283891,1035.2653061225478,-4.654037914238188,0.617468126118874,0.09873961938735888,0.08938708146683949,0.10539873011656149,0.9101482416023373,0.9101482416022657,0.37862457348967776,0.25063229803397374,0.09048257372655169,0.07983756505283891,0.10848740334159752,0.09821156310698441,0.17110865794041594,0.4358736792303923,0.22502365557483395,0.16799400725435798,0.7346938775510321
Bosnia-Herzegovina,5,2526,7.99999999999976,7.99999999999976,6807.000000000679,118.00000000001059,21.000000000001688,21.071510226933295,20.000000000001926,18.79818013450336,7.000000000000001,4.837778069080408,115.00000000001204,40.000000000006736,28.782783250795607,14.421790583061185,25.909288296013703,4.837778069080408,14.000000000001444,5.785957045079083e-26,60199999.999997586,53999999.99999868,47999999.9999988,22000000.000000004,0.2628392622598081,310.99999999996703,86.99999999998317,11.962231494487591,19.87794210435954,20.743382908871315,10.446678079665967,17.604612011929603,18.47005281644138,0.5676969218465219,0.943356308602502,0.9844279164365469,0.5557281611793601,0.9365061876185095,0.9825447295581716,0.40767484790444064,0.39329646309779936,3.000000000000481,5.000000000000241,6.000000000000241,3.0000000000002407,2.0000000000002407,1.9999999999997597,0,2753.9999999998686,659.0000000002985,3394.0000000005125,28.44710018494269,5.858167748790622,23.123287671232884,40.07671232876612,11378066.696047097,8447611.665858097,24.278977523138852,47.16062976678085,4.338475099162181,24.82186536100244,0.27860084037370547,0.06396357076791048,1.5204936095196173,0.5288673424416299,0.3805568521479765,0.19068035147280185,0.27765535478183834,0.09255178492727419,850.8750000001263,-0.07151022693160886,2.201819865498324,0.2786008403737055,0.24854358926180828,0.06396357076791051,1.520493609519617,0.5288673424416299,0.3805568521479765,0.19068035147280188,0.2776553547818384,0.09255178492727423,0.18323052371244514,0.16346243595218582,0.49860437784635275,0.09681210518586227,0.40458351696778505,0,0.6250000000000558
Brazil,5,2526,63.00000000000506,63.00000000000506,60605.00000001058,940.0000000001512,114.0000000000118,121.82620287874225,105.00000000001155,114.30384057947806,71.00000000000651,84.23468362075296,1017.0000000001083,691.0000000000847,326.7779076919468,193.0526880170572,206.06088649949524,84.23468362075296,134.00000000002262,7.000000000000242,1525300000.0000303,454999999.9999928,309999999.9999988,150000000.00000003,0.03313521668134971,1096.000000000025,137.99999999999807,9.973474495115132,26.472449300815335,38.91611576546573,9.20277534425465,22.756061187018442,35.19972765166884,0.08186641510153374,0.21729684316898337,0.31943961845547936,0.08051151472776127,0.199083959660962,0.3079487747149941,0.04100299436276847,0.03997249168945884,31.00000000000313,45.00000000000217,46.00000000000361,30.000000000001204,17.000000000000963,8.000000000000481,8293.000000002488,17366.000000001943,12211.000000003563,22735.000000002583,26.992049934846595,4.011939228462568,18.97260273972632,34.843835616439044,31450070.12622626,25451155.69409059,20.007326128206717,22.284480121274083,2.1830212028709512,4.42083462728952,0.18091507728875794,0.12509069426394917,1.510271429749961,1.0261529576767285,0.4852736852119514,0.28668825874980697,0.16929296262683902,0.10543684514478496,961.9841269841951,-7.826202878730468,-0.30384057946626036,0.18091507728875797,0.1697441737835408,0.12509069426394917,1.5102714297499613,1.0261529576767285,0.48527368521195136,0.28668825874980697,0.169292962626839,0.10543684514478496,0.11978977667524981,0.11239315691196226,0.3751340648461216,0.20148502598796847,0.28654401452024375,0.13683689464566623,0.7142857142856972
Canada,5,2526,10.000000000000481,10.000000000000481,6302.000000001576,120.00000000002886,18.00000000000313,21.036224352200186,18.000000000001446,20.274925516921353,7.000000000001685,10.073575655930561,94.0000000000267,72.00000000001012,38.99887572369629,15.848397526431476,31.109800008130748,10.073575655930561,12.000000000002405,1.0000000000004812,102650000.00000468,93000000.00000289,77000000.00000192,45000000.00000001,0.2584176412264346,339.0000000000265,46.000000000006736,10.766088856386249,17.809950415047926,20.932405347007563,10.004790021107596,17.048651579769093,20.171106511728734,0.5117880792738492,0.846632462026653,0.9950647510002824,0.49345631443912547,0.8408736971951258,0.9948794383927339,0.3324374487328132,0.31940411894318527,3.0000000000007216,4.000000000000963,5.000000000000962,4.000000000000722,3,1.0000000000002407,9.617027436696839e-36,566.0000000011145,3386.0000000000095,2350.0000000004516,27.032407194063534,3.958036381917454,18.169863013699715,33.83835616438357,12801674.071722578,13618819.699224876,50.782926055220294,27.4163373840415,6.348460806093834,4.788875998952421,0.3004221186444916,0.14386255300437986,1.3424309742938973,1.0282450015867426,0.5569499865331271,0.22633382694038906,0.25706125039668987,0.099968264043160407,630.2000000001061,-3.0362243521970584,-2.2749255169182256,0.30042211864449164,0.289549872504373,0.14386255300437986,1.3424309742938973,1.0282450015867426,0.5569499865331272,0.22633382694038917,0.25706125039668987,0.09996826404316045,0.22378962076803302,0.21569069698847937,0.3728974928593992,0.5372897492858758,0.08981275785472503,1.1946617933784895e-39,0.4000000000000642
Cape Verde,4,2425,2,2,3517.999999999953,60.999999999995666,2.9999999999997593,3.3781963065265592,2.9999999999997593,3.3781963065265592,1.9999999999997595,1.3378026746212874,25.000000000003364,12.000000000000963,15.119219653306725,11.705891741438466,4.715998981147846,1.3378026746212874,5.000000000000481,0.9999999999997594,18799999.999999996,18799999.999999996,18799999.999999996,18000000,0.9185151652331374,45.00000000000121,4.9999999999995195,2.3823100291190777,3.3781963065265592,3.3781963065265592,2.3823100291190777,3.3781963065265592,3.3781963065265592,0.7052017742475539,1,1,0.7052017742475539,1,1,0.5842155363086983,0.5842155363086983,1,2,2,1.0000000000002405,5.785957045076298e-26,0,0,2596.0000000000114,0,921.999999999942,25.011921468455913,0.06393020213513376,24.945205479452078,25.035616438356836,13492211.48379785,12162236.63640862,24.165434906197042,4.949747468304982,1.3104036384307591,3.5355339059323976,0.0864234416109704,0.03422462783283602,0.6395679363275589,0.30699260943721063,0.38679072450188046,0.29946852095778004,0.07674815235928957,0.05116543490619085,1758.9999999999766,-0.37819630652679953,-0.37819630652679953,0.08642344161097046,0.08642344161097046,0.034224627832836065,0.6395679363275589,0.30699260943721063,0.3867907245018805,0.29946852095778004,0.07674815235928963,0.0511654349061909,0.13512785226105217,0.13512785226105217,0.2620807276861716,0,0.7379192723138284,0,1
Colombia,5,2526,17.00000000000072,17.00000000000072,19250.000000001317,304.00000000002433,38.00000000000121,44.22775007784439,36.00000000000169,41.96187483891972,23.00000000000024,28.414757248947012,316.00000000002336,213.00000000001734,101.76435503690351,47.732128843671596,72.6425073267914,28.414757248947012,53.00000000000144,1.0000000000009621,195600000.0000079,151000000.0000024,122000000,70000000,0.18298633327895858,586.0000000000267,63.00000000000843,12.380147904157635,25.886717572807633,33.07229535840408,12.380147904157635,25.143439963459514,31.567718928679742,0.27991810305447584,0.5853048714267627,0.7477725025621752,0.2950332403326047,0.5991972489308096,0.7522952453830959,0.14999145683859358,0.1561378151981779,9.99999999999976,12.99999999999976,15.000000000000481,10.000000000000242,5,2.0000000000002407,1865.999999999833,11241.00000000086,1528.0000000004025,4615.000000000221,31.02929514321282,5.056214443012176,20.5095890410959,37.88493150684932,15520623.376623645,17230767.19810484,37.02441558441669,30.112534032897944,4.2918961038962395,5.405607110704657,0.20677909127302693,0.132848215709354,1.477402597402604,0.995844155844166,0.47578140017250253,0.2231631997885759,0.17766233766233258,0.10753246753246265,1132.3529411764953,-6.227750077843185,-3.9618748389185106,0.20677909127302693,0.1961853888572752,0.13284821570935407,1.4774025974026037,0.995844155844166,0.47578140017250253,0.22316319978857588,0.1776623376623326,0.10753246753246269,0.13996123442354974,0.1327907431611299,0.23974025974025592,0.07937662337663545,0.5839480519480558,0.09693506493505302,0.7647058823529016
Cote d'Ivoire,5,2526,31.000000000001688,31.000000000001688,30222.000000004617,481.00000000006787,42.00000000000482,51.97757119173747,41.00000000000457,50.45617724070851,42.000000000004334,40.12259089574716,392.0000000000614,310.00000000003564,138.80840020256136,71.32050682326094,92.10016208748462,40.12259089574716,55.00000000000963,4.000000000000241,427850000.0000063,230000000,160000000,75000000.00000001,0.08217252381854386,550.0000000000467,68.00000000000264,6.9876491092152175,17.960208492355566,26.10514829960009,6.9876491092152175,17.96020849235502,25.645790387878595,0.1344358527919447,0.3455376632760125,0.5022387099101282,0.13848946732289372,0.3559565840010701,0.5082785060297326,0.07035428257246151,0.07173758796011317,15.000000000001924,22.000000000001926,24.000000000002164,17.00000000000024,6.000000000000962,2.0000000000009623,1.1295766096912397e-9,16273.000000001659,2368.0000000002183,11581.000000001613,26.546210825281282,4.536327426340215,19.413698630136988,36.19178082191781,19099877.572628,17451955.400808744,18.833664218119228,14.621827842727567,2.576864535768451,3.198117725983032,0.1547872876466064,0.11948359409095138,1.1673615247170963,0.9231685527099249,0.41336629006117054,0.2123898356856751,0.12507444907682852,0.12507444907682763,974.9032258065299,-9.977571191732654,-8.456177240703703,0.1547872876466064,0.15025663264056507,0.1194835940909514,1.1673615247170963,0.9231685527099249,0.41336629006117054,0.21238983568567513,0.12507444907682852,0.12507444907682763,0.13259584487686304,0.1287147378589328,0.383197670571104,0.0783535173052714,0.5384488121236017,2.2858519703968013e-14,0.709677419354858
Croatia,5,2526,27.99999999999952,27.99999999999952,34011.00000000079,499.0000000000147,62.99999999999928,57.54327907692828,50.9999999999988,46.99633444938978,32.000000000000725,39.934222321027015,422.000000000021,357.00000000001785,152.45450226590813,99.9826577641111,97.4775013979553,39.934222321027015,61.99999999999832,2.0000000000004814,346999999.99997103,218999999.9999803,164999999.99998847,70000000,0.1007109103140218,1021.0000000000106,136.99999999999906,12.283620797099703,27.570988625291125,36.548671321946344,8.567232664676002,20.06571714207806,27.018454442735113,0.2134675151320074,0.4791348193493083,0.635151001267847,0.1822957633834587,0.4269634510258775,0.5749055699616518,0.1047551083844718,0.08853850043782935,18.99999999999952,21.99999999999952,22.00000000000024,14.999999999999039,6,3,1529.9999999999568,11424.000000000235,17925.00000000038,3132.000000000223,28.504988998321938,4.906970918097164,18.802739726028054,40.59452054794521,13647496.398223724,17025230.26594479,42.99606009820586,43.57495215174029,6.577754255976241,8.45177730909545,0.15227118040996795,0.10567404689342703,1.1166975390315166,0.9446943635882739,0.40342551539006144,0.2645743788412507,0.1667107700449802,0.08467848637205606,1214.6785714286243,5.456720923071004,16.0036655506095,0.15227118040996795,0.12436182706903583,0.10567404689342705,1.1166975390315166,0.9446943635882739,0.40342551539006144,0.2645743788412507,0.1667107700449802,0.08467848637205606,0.13635848122494218,0.11136572144404636,0.09208785392961504,0.5270353709094107,0.33589132927582166,0.04498544588515269,0.7857142857142818
Czech Republic,5,2526,12.00000000000024,12.00000000000024,12350.00000000124,191.00000000002117,24.000000000005052,28.346547486262832,22.000000000005294,26.830994116144876,11.999999999998558,14.01922927610548,153.00000000003152,108.00000000000313,57.52043670788804,31.369526843541504,42.36577676236831,14.01922927610548,20.00000000000481,1.9999999999997597,107824999.9999934,73999999.99999689,51999999.999998085,20000000,0.12349708786204715,408.00000000000676,71.99999999999737,10.162958677858992,21.59197376668601,24.872146323325463,8.647405307741032,20.07642039656805,23.356592953207503,0.35852544944967646,0.7617144125629366,0.8774312404492587,0.3222916478721749,0.7482548097048565,0.8705079227442116,0.22600093916117325,0.2126534423386129,7.000000000000242,8.000000000000481,8.000000000000723,6,3.0000000000002407,2.0000000000002407,1.1040793523178901e-10,5236.99999999956,5729.000000000857,1384.000000000714,29.218771005490723,4.391799285598927,20.22191780822002,33.775342465753475,9147831.983804978,6515387.889915576,38.91117408907034,25.676306729604438,6.577975708502083,7.5075719352955,0.206574030264244,0.10216442387444623,1.1149797570851032,0.7870445344129159,0.4191772715554212,0.22860383934562795,0.1748987854251148,0.087449392712537,1029.1666666667434,-4.346547486257782,-2.8309941161398227,0.206574030264244,0.19552951177755482,0.10216442387444627,1.1149797570851032,0.7870445344129158,0.4191772715554212,0.22860383934562795,0.17489878542511483,0.08744939271253702,0.18527155219776884,0.17536597461529907,0.11206477732796807,0.4638866396761294,0.42404858299589626,6.3068625175248405e-15,0.6666666666666914
DR Congo,5,2526,11.999999999999039,11.999999999999039,9342.000000001011,168.00000000000844,9.000000000005294,14.555247490299093,9.000000000005294,14.555247490299093,2.0000000000031273,4.363002424130136,106.00000000002285,60.00000000001059,34.011058089331534,19.87834230717512,18.91824991442923,4.363002424130136,22.00000000000024,1.0000000000007216,116399999.99999031,98999999.9999935,81999999.99999568,30000000,0.18436544207085132,363.9999999999656,43.00000000000001,3.7923307791393017,8.545919811358312,12.265849296008547,3.7923307791393017,8.545919811358312,12.265849296008547,0.2605473236827621,0.5871366884728467,0.8427097721411518,0.2605473236827621,0.5871366884728467,0.8427097721411518,0.1605879133715967,0.1605879133715967,2.0000000000009623,6.000000000000241,10.999999999999039,5,1.0000000000004812,4.810803278072256e-13,0,3668.000000000776,3492.999999999491,2181.000000000744,26.751287894118335,3.9529098574058583,21.323287671232908,35.00821917808219,14763369.728109416,11155430.801346734,25.199529008776192,28.782359917563806,2.0132733889962107,6.1711695271915845,0.14022396426104536,0.04203277865249761,1.0211946050097096,0.5780346820809522,0.32765951916499475,0.19150618793037472,0.08670520231216741,0.019267822736050166,778.5000000002199,-5.555247490293801,-5.555247490293801,0.14022396426104541,0.14022396426104541,0.04203277865249767,1.0211946050097096,0.5780346820809521,0.3276595191649948,0.19150618793037472,0.08670520231216744,0.01926782273605018,0.1373136555688223,0.1373136555688223,0.23346178548494437,0.37390280453857716,0.39263540997647844,0,0.5000000000000903
