match_number,stage,team_a_slot,team_b_slot,team_a,team_b,lambda_a,lambda_b,reg_goals_a,reg_goals_b,et_goals_a,et_goals_b,penalty_goals_a,penalty_goals_b,penalty_prob_a,penalty_prob_b,penalty_rounds,resolution,winner,loser,winner_slot,loser_slot,decision_rule,model_name,score_model_name,winner_model_name,history_scope,sim_id
73,round_of_32,2A,2B,Czech Republic,Bosnia-Herzegovina,1.7963114097156878,1.3204727472785924,2,1,0,0,0,0,NA,NA,0,regular,Czech Republic,Bosnia-Herzegovina,W73,L73,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
74,round_of_32,1E,3ABCDF,Cote d'Ivoire,New Zealand,1.9177725690829088,8078.636481381219,2,8079,0,0,0,0,NA,NA,0,regular,New Zealand,Cote d'Ivoire,W74,L74,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
75,round_of_32,1F,2C,Japan,Morocco,0.7733484417027918,0.6124584122545313,1,1,0,0,4,3,0.7532055171566618,0.7467944828433382,5,penalties,Japan,Morocco,W75,L75,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
76,round_of_32,1C,2F,Brazil,Netherlands,0.9912026908026794,1.327339701733265,1,1,0,0,4,5,0.7433875761986997,0.7566124238013003,5,penalties,Netherlands,Brazil,W76,L76,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
77,round_of_32,1I,3CDFGH,Iraq,Argentina,0.4580313843396845,2.964934632923549,0,3,0,0,0,0,NA,NA,0,regular,Argentina,Iraq,W77,L77,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
78,round_of_32,2E,2I,Curacao,Norway,0.9915567615545186,4.087565186221635,1,4,0,0,0,0,NA,NA,0,regular,Norway,Curacao,W78,L78,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
79,round_of_32,1A,3CEFHI,South Africa,Qatar,0.5027297864453297,0.8456291571104457,1,1,0,0,2,1,0.7432590282419752,0.7567409717580248,5,penalties,South Africa,Qatar,W79,L79,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
80,round_of_32,1L,3EHIJK,Panama,Scotland,0.8189800086033012,1.4487189748029472,1,1,0,0,3,5,0.7380964854824564,0.7619035145175436,5,penalties,Scotland,Panama,W80,L80,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
81,round_of_32,1D,3BEFIJ,Paraguay,"Korea, South",2.0344438128050952,2.2160174209049175,2,2,1,1,4,5,0.7463861616633611,0.7536138383366389,5,penalties,"Korea, South",Paraguay,W81,L81,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
82,round_of_32,1G,3AEHIJ,Iran,Croatia,0.5968788956753912,4.779099334542077,1,5,0,0,0,0,NA,NA,0,regular,Croatia,Iran,W82,L82,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
83,round_of_32,2K,2L,Portugal,England,1.1606839393922188,2.341589071742218,1,2,0,0,0,0,NA,NA,0,regular,England,Portugal,W83,L83,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
84,round_of_32,1H,2J,Spain,Algeria,1.8814632098806812,0.7739525839448768,2,1,0,0,0,0,NA,NA,0,regular,Spain,Algeria,W84,L84,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
85,round_of_32,1B,3EFGIJ,Canada,Turkiye,2.5373635160083117,0.5317225968592656,3,1,0,0,0,0,NA,NA,0,regular,Canada,Turkiye,W85,L85,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
86,round_of_32,1J,2H,Jordan,Uruguay,0.3581031598338072,2.5366671134070273,0,3,0,0,0,0,NA,NA,0,regular,Uruguay,Jordan,W86,L86,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
87,round_of_32,1K,3DEIJL,Colombia,France,0.8513962549604067,2.3094964788668997,1,2,0,0,0,0,NA,NA,0,regular,France,Colombia,W87,L87,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
88,round_of_32,2D,2G,United States,Egypt,1.0400853122609561,0.8844957174101226,1,1,0,0,5,3,0.7531006796235697,0.7468993203764303,5,penalties,United States,Egypt,W88,L88,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
89,round_of_16,W74,W77,New Zealand,Argentina,0.44051000250414163,4.038574343649535,0,4,0,0,0,0,NA,NA,0,regular,Argentina,New Zealand,W89,L89,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
90,round_of_16,W73,W75,Czech Republic,Japan,0.5410256729360419,1.290266773145915,1,1,0,0,3,2,0.7361484247730287,0.7638515752269713,5,penalties,Czech Republic,Japan,W90,L90,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
91,round_of_16,W76,W78,Netherlands,Norway,2.6997987202021068,0.7516615189239628,3,1,0,0,0,0,NA,NA,0,regular,Netherlands,Norway,W91,L91,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
92,round_of_16,W79,W80,South Africa,Scotland,0.6160758481285049,0.5599743771171258,1,1,0,0,5,4,0.7511215065354042,0.7488784934645958,5,penalties,South Africa,Scotland,W92,L92,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
93,round_of_16,W83,W84,England,Spain,1.5822176762216138,2.679556799238683,2,3,0,0,0,0,NA,NA,0,regular,Spain,England,W93,L93,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
94,round_of_16,W81,W82,"Korea, South",Croatia,0.5174496996512515,2.437473370196894,1,2,0,0,0,0,NA,NA,0,regular,Croatia,"Korea, South",W94,L94,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
95,round_of_16,W86,W88,Uruguay,United States,0.6504622854687122,1.239901589552481,1,1,0,0,3,5,0.7387827356842929,0.7612172643157071,5,penalties,United States,Uruguay,W95,L95,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
96,round_of_16,W85,W87,Canada,France,0.5669853493901466,4.054069947405526,1,4,0,0,0,0,NA,NA,0,regular,France,Canada,W96,L96,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
97,quarter_final,W89,W90,Argentina,Czech Republic,1.736058223240412,0.5561569749049493,2,1,0,0,0,0,NA,NA,0,regular,Argentina,Czech Republic,W97,L97,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
98,quarter_final,W93,W94,Spain,Croatia,1.9224391707226163,1.3422184714559873,2,1,0,0,0,0,NA,NA,0,regular,Spain,Croatia,W98,L98,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
99,quarter_final,W91,W92,Netherlands,South Africa,2.218228679420727,0.41592967800067493,2,0,0,0,0,0,NA,NA,0,regular,Netherlands,South Africa,W99,L99,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
100,quarter_final,W95,W96,United States,France,0.76084621880286,2.499854224705295,1,2,0,0,0,0,NA,NA,0,regular,France,United States,W100,L100,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
101,semi_final,W97,W98,Argentina,Spain,3.550487327170977,2.5498252287903513,4,3,0,0,0,0,NA,NA,0,regular,Argentina,Spain,W101,L101,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
102,semi_final,W99,W100,Netherlands,France,1.0419988717395343,1.966474836725478,1,2,0,0,0,0,NA,NA,0,regular,France,Netherlands,W102,L102,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
103,bronze_final,L101,L102,Spain,Netherlands,1.2414074295147421,1.7352239495893624,1,2,0,0,0,0,NA,NA,0,regular,Netherlands,Spain,W103,L103,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
104,final,W101,W102,Argentina,France,4.317217946301267,3.5387805310791447,4,4,1,1,5,3,0.7643068682219173,0.7356931317780827,5,penalties,Argentina,France,W104,L104,most_probable,xgboost,score_poisson_glm,xgboost,full_history_80_20,0
